customer_id,recency,frequency,monetary,dbscan_cluster
12346.0,325,2,0.0,0
12347.0,1,7,4310.0,0
12348.0,74,4,1797.24,0
12349.0,18,1,1757.55,0
12350.0,309,1,334.4,0
12352.0,35,11,1545.41,0
12353.0,203,1,89.0,0
12354.0,231,1,1079.4,0
12355.0,213,1,459.4,0
12356.0,22,3,2811.43,0
12357.0,32,1,6207.67,0
12358.0,1,2,1168.06,0
12359.0,7,6,6245.53,0
12360.0,51,3,2662.06,0
12361.0,286,1,189.9,0
12362.0,2,13,5154.58,0
12363.0,109,2,552.0,0
12364.0,7,4,1313.1,0
12365.0,290,3,320.69,0
12367.0,3,1,168.9,0
12370.0,50,4,3545.69,0
12371.0,44,2,1887.96,0
12372.0,71,3,1298.04,0
12373.0,310,1,364.6,0
12374.0,24,1,742.9300000000001,0
12375.0,2,3,455.42,0
12377.0,314,2,1628.12,0
12378.0,129,1,4008.62,0
12379.0,81,3,850.29,0
12380.0,21,5,2720.56,0
12381.0,4,6,1803.96,0
12383.0,184,6,1839.31,0
12384.0,28,3,566.16,0
12386.0,337,2,401.9,0
12388.0,15,6,2780.66,0
12390.0,79,1,549.84,0
12391.0,21,1,460.89,0
12393.0,71,4,1582.6000000000001,0
12394.0,63,2,1272.48,0
12395.0,15,15,2998.28,0
12397.0,35,2,2409.9,0
12398.0,45,1,1635.6599999999999,0
12399.0,118,4,1108.65,0
12401.0,302,1,84.3,0
12402.0,322,1,225.6,0
12403.0,49,2,409.7,0
12405.0,148,1,1710.39,0
12406.0,21,3,3280.75,0
12407.0,49,5,1708.1200000000001,0
12408.0,32,9,2842.57,0
12409.0,78,7,11056.93,0
12410.0,300,3,681.0799999999999,0
12412.0,74,3,1226.88,0
12413.0,66,5,694.15,0
12414.0,216,3,562.41,0
12415.0,23,26,123725.45,-1
12417.0,2,12,3578.8,0
12418.0,112,1,668.58,0
12420.0,63,1,600.39,0
12421.0,15,5,806.27,0
12422.0,95,3,803.5600000000001,0
12423.0,0,9,1849.11,0
12424.0,162,2,1760.96,0
12425.0,77,1,777.2,0
12426.0,194,1,582.73,0
12427.0,11,5,708.37,0
12428.0,25,12,7877.2,0
12429.0,8,4,3750.4,0
12430.0,42,1,256.4,0
12431.0,35,18,6416.39,0
12432.0,42,5,5059.32,0
12433.0,0,7,13375.87,0
12434.0,84,4,765.19,0
12435.0,79,2,7829.89,0
12436.0,99,1,509.01,0
12437.0,1,19,4896.66,0
12438.0,13,2,2906.85,0
12441.0,366,1,173.55,0
12442.0,2,1,172.06,0
12444.0,20,5,5005.46,0
12445.0,21,1,133.4,0
12446.0,57,1,1002.3100000000001,0
12447.0,242,1,476.49,0
12448.0,43,1,449.45,0
12449.0,21,4,4067.29,0
12450.0,155,2,197.88,0
12451.0,10,6,8933.52,0
12452.0,16,3,428.57,0
12453.0,133,1,707.09,0
12454.0,52,2,5.684341886080802e-14,0
12455.0,72,6,2466.86,0
12456.0,43,4,3153.89,0
12457.0,57,12,1917.78,0
12458.0,70,2,947.4,0
12461.0,93,2,826.88,0
12462.0,1,4,1124.01,0
12463.0,45,7,1303.63,0
12464.0,9,8,1212.05,0
12465.0,7,3,733.89,0
12468.0,142,3,724.0400000000001,0
12471.0,1,49,18740.92,1
12472.0,30,13,6229.48,0
12473.0,28,9,2848.23,0
12474.0,16,30,7116.47,0
12475.0,53,1,723.38,0
12476.0,0,20,6546.58,0
12477.0,22,9,13117.01,0
12478.0,3,1,680.99,0
12479.0,3,3,477.3,0
12480.0,27,4,3281.63,0
12481.0,22,11,5590.86,0
12483.0,16,13,2327.13,0
12484.0,32,8,4495.27,0
12488.0,9,3,1298.66,0
12489.0,335,1,334.93,0
12490.0,4,10,5417.93,0
12491.0,38,1,460.40000000000003,0
12492.0,62,2,263.21000000000004,0
12493.0,165,3,416.79,0
12494.0,9,13,1139.3500000000001,0
12497.0,81,1,1043.1,0
12498.0,20,3,403.70000000000005,0
12500.0,22,13,4206.27,0
12501.0,314,2,2089.68,0
12502.0,95,5,3723.87,0
12503.0,337,1,-1126.0,0
12504.0,17,4,114.0,0
12505.0,300,1,-4.5,0
12506.0,232,1,73.5,0
12507.0,133,4,1258.06,0
12508.0,25,2,398.27,0
12509.0,283,1,176.5,0
12510.0,142,2,982.5699999999999,0
12512.0,65,2,138.03,0
12513.0,84,2,586.79,0
12514.0,266,1,1017.68,0
12515.0,352,1,383.7,0
12516.0,77,2,1312.06,0
12517.0,27,6,2464.89,0
12518.0,0,5,2056.89,0
12519.0,63,1,340.84,0
12520.0,78,6,2582.51,0
12521.0,142,1,599.68,0
12522.0,38,2,192.72,0
12523.0,1,13,1745.57,0
12524.0,8,8,4485.72,0
12526.0,0,3,1316.66,0
12527.0,81,3,348.71000000000004,0
12528.0,8,8,1922.28,0
12530.0,59,5,1623.63,0
12531.0,14,1,125.22,0
12532.0,29,1,349.83000000000004,0
12534.0,130,1,1089.18,0
12535.0,91,2,716.35,0
12536.0,7,5,4106.82,0
12538.0,28,1,363.95,0
12539.0,21,5,3852.5,0
12540.0,19,19,13309.039999999999,0
12541.0,29,3,981.18,0
12544.0,29,2,355.7,0
12545.0,74,2,1000.39,0
12546.0,46,3,1141.5,0
12547.0,197,2,207.79999999999998,0
12548.0,165,1,95.19999999999999,0
12550.0,78,1,964.83,0
12551.0,357,1,168.0,0
12552.0,38,2,437.82,0
12553.0,7,14,3652.25,0
12556.0,49,2,603.71,0
12557.0,15,5,11990.960000000001,0
12558.0,1,2,1.0658141036401503e-14,0
12559.0,310,3,536.21,0
12560.0,4,4,2101.39,0
12561.0,302,1,238.85,0
12562.0,7,7,3781.7400000000002,0
12564.0,260,1,456.9,0
12565.0,281,2,131.17,0
12566.0,72,2,346.7,0
12567.0,22,11,9114.94,0
12569.0,1,35,4064.9900000000002,0
12571.0,39,2,519.61,0
12572.0,8,3,1004.72,0
12573.0,226,1,160.54000000000002,0
12574.0,315,1,218.45,0
12576.0,35,6,1306.98,0
12577.0,34,4,595.4,0
12578.0,20,4,2753.36,0
12579.0,72,3,410.72,0
12580.0,246,1,415.7,0
12581.0,39,1,197.71,0
12582.0,238,2,511.36,0
12583.0,2,18,7187.34,0
12584.0,3,18,1893.95,0
12585.0,233,4,1982.81,0
12586.0,16,2,179.94000000000003,0
12587.0,7,1,144.0,0
12588.0,38,1,214.89999999999998,0
12589.0,28,2,646.68,0
12590.0,189,3,9861.38,-1
12591.0,316,1,452.84999999999997,0
12592.0,91,2,437.6,0
12593.0,108,3,418.09999999999997,0
12594.0,37,11,3320.2200000000003,0
12596.0,50,2,618.27,0
12597.0,18,5,3683.13,0
12598.0,9,9,3002.68,0
12599.0,28,7,1032.58,0
12600.0,28,11,2581.04,0
12601.0,189,6,569.5600000000001,0
12602.0,58,1,153.12,0
12603.0,21,1,739.1999999999999,0
12604.0,78,2,254.18,0
12605.0,364,1,-7.5,0
12607.0,57,2,3.552713678800501e-15,0
12609.0,77,3,1126.85,0
12610.0,22,7,2057.99,0
12611.0,51,1,1193.32,0
12612.0,57,2,643.59,0
12613.0,30,6,3218.98,0
12614.0,277,1,315.6,0
12615.0,1,4,2291.19,0
12616.0,84,5,657.25,0
12617.0,28,1,355.53,0
12618.0,21,1,177.31,0
12619.0,15,13,3214.81,0
12620.0,14,3,1339.41,0
12621.0,1,23,13612.07,0
12622.0,231,1,180.1,0
12623.0,275,1,305.1,0
12624.0,105,2,641.13,0
12625.0,211,3,2614.32,0
12626.0,22,13,6388.35,0
12627.0,10,7,4478.53,0
12628.0,3,4,769.61,0
12630.0,9,2,1270.88,0
12631.0,56,1,640.5,0
12633.0,58,5,2140.63,0
12635.0,89,2,1689.18,0
12637.0,66,10,5953.25,0
12638.0,32,1,671.69,0
12639.0,238,1,486.1,0
12640.0,23,3,1174.58,0
12641.0,114,1,185.9,0
12642.0,24,3,1013.26,0
12643.0,127,6,3344.64,0
12644.0,129,1,477.91,0
12645.0,33,5,1755.38,0
12646.0,4,2,1346.97,0
12647.0,21,13,3669.92,0
12648.0,154,1,318.05,0
12649.0,106,4,603.71,0
12650.0,2,1,314.44,0
12651.0,334,1,114.0,0
12652.0,321,2,914.53,0
12653.0,148,2,2209.85,0
12654.0,10,5,601.98,0
12656.0,16,8,3982.72,0
12657.0,10,5,1152.06,0
12658.0,18,1,686.05,0
12659.0,29,1,91.68,0
12660.0,10,1,245.1,0
12662.0,0,12,3817.08,0
12664.0,7,10,4863.88,0
12665.0,324,2,61.75,0
12666.0,358,1,-227.44,0
12667.0,57,1,620.13,0
12668.0,6,6,3743.18,0
12669.0,150,4,1607.73,0
12670.0,9,6,2986.15,0
12672.0,329,1,225.89999999999998,0
12673.0,4,2,610.52,0
12674.0,11,7,1919.31,0
12676.0,24,6,1331.39,0
12678.0,41,13,17588.26,-1
12679.0,51,9,1058.67,0
12680.0,0,4,862.81,0
12681.0,14,27,13677.59,0
12682.0,3,31,12288.22,0
12683.0,3,20,8221.09,0
12684.0,7,7,2283.63,0
12685.0,27,6,2863.08,0
12686.0,371,1,89.14,0
12688.0,113,1,4873.8099999999995,0
12689.0,25,2,1247.61,0
12690.0,205,1,389.01,0
12691.0,27,6,1035.8,0
12693.0,120,6,830.96,0
12694.0,69,2,869.67,0
12695.0,6,4,582.1,0
12697.0,20,5,939.02,0
12700.0,7,6,4867.99,0
12701.0,79,2,797.71,0
12702.0,19,1,219.0,0
12703.0,63,2,274.7,0
12704.0,6,10,2220.84,0
12705.0,14,14,6814.24,0
12707.0,291,1,603.42,0
12708.0,29,16,2616.32,0
12709.0,2,26,9294.1,0
12710.0,96,4,1130.57,0
12712.0,22,17,4241.63,0
12713.0,0,1,848.55,0
12714.0,8,5,4708.86,0
12715.0,105,1,353.86,0
12716.0,3,2,1053.49,0
12717.0,150,3,980.98,0
12718.0,70,1,238.25,0
12719.0,4,3,608.1,0
12720.0,2,29,5713.28,0
12721.0,31,7,2628.98,0
12722.0,84,6,904.33,0
12723.0,3,5,725.07,0
12724.0,4,4,1031.41,0
12725.0,370,1,427.8,0
12726.0,27,7,2609.1,0
12727.0,10,9,3947.7,0
12728.0,70,4,836.33,0
12729.0,113,1,453.01,0
12731.0,23,14,18793.41,-1
12732.0,179,1,236.26000000000002,0
12733.0,233,1,383.95,0
12734.0,352,1,110.39999999999999,0
12735.0,314,2,779.5699999999999,0
12736.0,332,1,234.0,0
12738.0,371,1,155.35,0
12739.0,77,2,1013.04,0
12740.0,63,1,427.6,0
12743.0,133,2,546.43,0
12744.0,51,10,9120.39,0
12747.0,1,11,4196.01,0
12748.0,0,224,29072.1,-1
12749.0,3,8,3868.2,0
12750.0,128,1,275.88,0
